time_period,rainfall,mean_temperature,disease_cases,population,location
2019-10-14/2019-10-20,0.007390292790753039,296.1894381903356,163.0,100860,boaco
2019-10-21/2019-10-27,0.004407391387381431,296.47400970507243,150.0,100045,boaco
2019-10-28/2019-11-03,0.0023499399614098516,296.31159215995893,180.0,100891,boaco
2019-11-04/2019-11-10,0.0014014191809604553,296.7872292238928,134.0,100716,boaco
2019-11-11/2019-11-17,0.00041594393100715093,296.0446673756583,101.0,100638,boaco
2019-11-18/2019-11-24,0.0017569095443409882,296.58202485678294,86.0,100976,boaco
2019-11-25/2019-12-01,0.00016645930615452546,296.28534635048794,110.0,100266,boaco
2019-12-02/2019-12-08,0.0018464057908206333,296.0291440198876,148.0,100748,boaco
2019-12-09/2019-12-15,0.0009830400163072985,296.3982542948006,94.0,100287,boaco
2019-12-16/2019-12-22,0.00021971399650902622,296.1400353061532,41.0,100180,boaco
2019-12-23/2019-12-29,0.000818852605083474,296.5394863832005,51.0,100901,boaco
2019-12-30/2020-01-05,0.0017577105161786766,295.96636570080557,81.0,100832,boaco
2020-01-06/2020-01-12,0.003744500395329129,295.2178785932132,53.0,100071,boaco
2020-01-13/2020-01-19,0.00031683735654839507,295.59930869534185,56.0,100441,boaco
2020-01-20/2020-01-26,4.925923350477769e-05,295.81251499217046,49.0,100794,boaco
2020-01-27/2020-02-02,0.0005648302137786209,296.6674506917122,44.0,100477,boaco
2020-02-03/2020-02-09,0.0024399095727776756,296.13603405446764,45.0,100660,boaco
2020-02-10/2020-02-16,0.0005959604427404756,296.9529854900948,44.0,100060,boaco
2020-02-17/2020-02-23,0.0001948964810847454,297.17780798506493,36.0,100940,boaco
2020-02-24/2020-03-01,0.0004794321447420695,296.63406048569027,40.0,100275,boaco
2020-03-02/2020-03-08,0.0018014414080140483,296.3825648374355,36.0,100742,boaco
2020-03-09/2020-03-15,0.0009098391072550823,296.7602819261384,26.0,100624,boaco
2020-03-16/2020-03-22,0.001257820285316575,296.72394080144966,21.0,100442,boaco
2020-03-23/2020-03-29,0.00035257567058442386,297.7150682881239,11.0,100031,boaco
2020-03-30/2020-04-05,0.0004538318081137766,298.92266416459205,11.0,100848,boaco
2020-04-06/2020-04-12,0.0004109551025579019,299.07848066643226,19.0,100807,boaco
2020-04-13/2020-04-19,0.00016845822032944161,300.0887915836265,23.0,100492,boaco
2020-04-20/2020-04-26,0.0004202998427502576,299.21240774247565,23.0,100862,boaco
2020-04-27/2020-05-03,0.0006244782209408553,299.60142379356995,21.0,100029,boaco
2020-05-04/2020-05-10,0.003493401012776136,298.76840959790644,13.0,100390,boaco
2020-05-11/2020-05-17,0.02841996852846692,298.4221937363344,13.0,100022,boaco
2020-05-18/2020-05-24,0.012582254010778471,297.402847050766,9.0,100909,boaco
2020-05-25/2020-05-31,0.02491353313062093,296.1949720143418,12.0,100487,boaco
2020-06-01/2020-06-07,0.004283322492749805,297.54993323568004,18.0,100752,boaco
2020-06-08/2020-06-14,0.006525398174053803,296.6372426318741,17.0,100046,boaco
2020-06-15/2020-06-21,0.005172325735633009,296.6462499522822,2.0,100934,boaco
2020-06-22/2020-06-28,0.0061287189514370915,295.9679668504127,8.0,100989,boaco
2020-06-29/2020-07-05,0.005541653472625187,296.4004900339358,10.0,100674,boaco
2020-07-06/2020-07-12,0.0035826598904902243,296.564239196327,10.0,100076,boaco
2020-07-13/2020-07-19,0.0026638827496515355,297.1560163652749,13.0,100587,boaco
2020-07-20/2020-07-26,0.0033002376056708157,296.8396256718484,36.0,100545,boaco
2020-07-27/2020-08-02,0.005202844517160572,297.14993335354717,30.0,100681,boaco
2020-08-03/2020-08-09,0.003801455289849292,296.4573701723401,32.0,100372,boaco
2020-08-10/2020-08-16,0.0037987371621624744,296.7907500810923,34.0,100274,boaco
2020-08-17/2020-08-23,0.006619267151826667,296.75126352537393,42.0,100222,boaco
2020-08-24/2020-08-30,0.0038977556830039417,297.12429990312,50.0,100230,boaco
2020-08-31/2020-09-06,0.006553740642667028,297.02527139982595,36.0,100613,boaco
2020-09-07/2020-09-13,0.006220701537212431,297.02955742875616,43.0,100529,boaco
2020-09-14/2020-09-20,0.004638153054743404,297.29284036508875,38.0,100875,boaco
2020-09-21/2020-09-27,0.006068338732109968,296.5257998174337,39.0,100163,boaco
2020-09-28/2020-10-04,0.014390926892816359,296.3545114767343,30.0,100326,boaco
2020-10-05/2020-10-11,0.004056707870057586,296.6230128893691,41.0,100613,boaco
2020-10-12/2020-10-18,0.01226805569925664,296.14429606864553,52.0,100605,boaco
2020-10-19/2020-10-25,0.00943106464579144,296.4322819626334,55.0,100822,boaco
2020-10-26/2020-11-01,0.030311466230770696,295.13554172065477,38.0,100876,boaco
2020-11-02/2020-11-08,0.001530707631002002,296.80722968728645,49.0,100354,boaco
2020-11-09/2020-11-15,0.02631932938122927,295.76112340005824,44.0,100096,boaco
2020-11-16/2020-11-22,0.004030990042607225,295.71599785697987,44.0,100780,boaco
2020-11-23/2020-11-29,0.0029529635735786037,295.6009028185629,33.0,100259,boaco
2020-11-30/2020-12-06,0.00040544463834603486,295.26975991468055,37.0,100396,boaco
2020-12-07/2020-12-13,0.0014968178173524207,295.6384625928502,27.0,100173,boaco
2020-12-14/2020-12-20,0.0014253972860770845,295.7227907904638,20.0,100210,boaco
2020-12-21/2020-12-27,0.0008442264950049354,295.1413643933689,,100066,boaco
2020-12-28/2021-01-03,0.001222160323277864,295.2300012849087,34.0,100864,boaco
2021-01-04/2021-01-10,0.0014033824442738314,295.44198163712355,29.0,100549,boaco
2021-01-11/2021-01-17,0.002444021682521261,295.34842127635716,32.0,100458,boaco
2021-01-18/2021-01-24,0.0021329324205471324,295.56558252893973,30.0,100896,boaco
2021-01-25/2021-01-31,0.0002286268454050478,295.4220269492928,36.0,100416,boaco
